Timestamp,OS,Device_Model,Provider,Network_Stability,Dead_Zones_Frequency,Bad_Signal_Locations,Privacy_Concern,Allow_Crowdsensing,Important_Features,Data_Contribution_Limit,GPS_Always_On_Consent
2026/04/18 3:54:53 PM GMT+1,iOS,Iphone 12 Pro Max,MTN,2,"Yes, multiple times",Everywhere,1,Yes,Wi-Fi Only Upload: The app won't use my mobile data to send reports.,None (Only upload via Wi-Fi),Yes
2026/04/18 3:55:06 PM GMT+1,iOS,Iphone 16,MTN,1,"Yes, multiple times",Bomaka,5,No,Data Privacy: My location data is never linked to my name/identity.,10MB - 50MB,Yes
2026/04/18 4:00:12 PM GMT+1,Android,Google Pixel 4Xl,Camtel,3,"Yes, multiple times",Dirty South,5,Only if I can see the data it collects,"Manual Control: A ""Stop Tracking"" button in the notification bar.",50MB+,Yes
2026/04/18 4:14:25 PM GMT+1,Android,Samsung A24,MTN,2,"Yes, multiple times",Molyko,1,Yes,Personal Stats: A map showing my own signal strength history.,10MB - 50MB,Yes
2026/04/18 4:23:08 PM GMT+1,Android,Redmi A5,MTN & Orange,3,Occasionally,Oic,4,Only if I can see the data it collects,Data Privacy: My location data is never linked to my name/identity.,10MB -  50MB,No
2026/04/18 7:07:33 PM GMT+1,Android,Infinix,MTN,2,"Yes, multiple times",St Luke In Buea,5,Yes,Personal Stats: A map showing my own signal strength history.,50MB+,Yes
2026/04/18 7:09:03 PM GMT+1,iOS,Iphone 14 Pro Max,MTN,4,Occasionally,Ndongo Untarred Malingo Buea,4,Only if I can see the data it collects,Data Privacy: My location data is never linked to my name/identity.,50MB+,Yes
2026/04/18 7:09:50 PM GMT+1,Android,Samsung S9 Plus,MTN,4,Rarely,Ub Junction,4,Only if I can see the data it collects,Personal Stats: A map showing my own signal strength history.,10MB - 50MB,Yes
2026/04/18 7:10:35 PM GMT+1,Android,None,MTN,3,Occasionally,Outdoor,3,Yes,Low Battery Usage: The app uses less than 3% battery.,Less than 10MB (Very light),Yes
2026/04/18 7:13:51 PM GMT+1,iOS,Iphone 12,MTN,3,Rarely,Bonduma,3,Yes,Data Privacy: My location data is never linked to my name/identity.,None (Only upload via Wi-Fi),Yes
2026/04/18 7:17:14 PM GMT+1,iOS,Iphone,Orange,3,Occasionally,Rural Areas,3,Yes,Wi-Fi Only Upload: The app won't use my mobile data to send reports.,Less than 10MB (Very light),Yes
2026/04/18 7:23:00 PM GMT+1,Android,Samsung S21 Fe,MTN,4,Occasionally,Local Areas In The Village,5,Only if I can see the data it collects,Data Privacy: My location data is never linked to my name/identity.,None (Only upload via Wi-Fi),No
2026/04/18 7:23:40 PM GMT+1,Android,Techno Spark 10Pro,MTN,3,Occasionally,Ub,2,Only if I can see the data it collects,Data Privacy: My location data is never linked to my name/identity.,Less than 10MB (Very light),Yes
2026/04/18 7:30:59 PM GMT+1,Android,Samsung A16 5G,Orange,2,Occasionally,School,4,Yes,Low Battery Usage: The app uses less than 3% battery.,Less than 10MB (Very light),Yes
2026/04/18 7:50:13 PM GMT+1,iOS,Iphone 13,Orange,4,"Yes, multiple times",Areas I Hardly Visit,1,Only if I can see the data it collects,Wi-Fi Only Upload: The app won't use my mobile data to send reports.,50MB+,Yes
2026/04/18 8:23:28 PM GMT+1,iOS,Iphone 13,Orange,5,"Yes, multiple times",Every Were,5,No,"Manual Control: A ""Stop Tracking"" button in the notification bar.",None (Only upload via Wi-Fi),No
2026/04/18 9:16:32 PM GMT+1,iOS,Iphone 11,MTN,3,"Yes, multiple times",Bundoma Gate,4,No,Data Privacy: My location data is never linked to my name/identity.,10MB -  50MB,Yes
2026/04/18 9:16:39 PM GMT+1,iOS,Iphone 12 Pro,MTN,3,"Yes, multiple times",Simbock Area,4,Yes,Low Battery Usage: The app uses less than 3% battery.,10MB - 50MB,Yes
2026/04/18 9:31:24 PM GMT+1,Android,Motor G34 5G,MTN,4,Rarely,Village,4,Only if I can see the data it collects,Wi-Fi Only Upload: The app won't use my mobile data to send reports.,None (Only upload via Wi-Fi),Yes
2026/04/18 11:35:25 PM GMT+1,Android,Motorola,MTN,3,Occasionally,Mile 16,3,Only if I can see the data it collects,Low Battery Usage: The app uses less than 3% battery.,50MB+,Yes
2026/04/19 4:56:25 AM GMT+1,Android,Samsung A04,MTN,3,Occasionally,Small Soppo,4,Yes,Wi-Fi Only Upload: The app won't use my mobile data to send reports.,50MB+,Yes
2026/04/19 3:07:16 PM GMT+1,iOS,Iphone Xr,MTN & Orange,3,"Yes, multiple times",Bomaka Buea,1,No,Data Privacy: My location data is never linked to my name/identity.,Less than 10MB (Very light),No
2026/04/19 5:33:15 PM GMT+1,Android,Samsung Galaxy A13,Orange,3,Occasionally,Location Independent,5,Yes,Data Privacy: My location data is never linked to my name/identity.,10MB - 50MB,Yes
2026/04/20 9:11:38 AM GMT+1,Android,Google Pixel 6,MTN,3,Occasionally,"Ndogpassi, Pk8",5,No,Data Privacy: My location data is never linked to my name/identity.,10MB - 50MB,Yes
2026/04/20 9:14:33 AM GMT+1,iOS,14Pro Max,Orange,4,"Yes, multiple times",Behind Rovie Estate,1,Only if I can see the data it collects,Data Privacy: My location data is never linked to my name/identity.,10MB - 50MB,Yes
2026/04/20 9:15:44 AM GMT+1,Android,Samsung Galaxy A9,MTN,2,"Yes, multiple times",Mayor Street,5,Only if I can see the data it collects,"Manual Control: A ""Stop Tracking"" button in the notification bar.",None (Only upload via Wi-Fi),At times
2026/04/20 9:38:44 AM GMT+1,Android,Techno Cammon 12,MTN,2,"Yes, multiple times",Ako,5,Only if I can see the data it collects,Low Battery Usage: The app uses less than 3% battery.,None (Only upload via Wi-Fi),Yes
2026/04/20 9:45:33 AM GMT+1,Android,Lgv50,MTN,3,"Yes, multiple times",Everywhere,5,Only if I can see the data it collects,"Manual Control: A ""Stop Tracking"" button in the notification bar.",None (Only upload via Wi-Fi),Not certain
2026/04/20 9:47:39 AM GMT+1,Android,Samsung S20Fe,MTN,2,"Yes, multiple times",Sandpit,5,Yes,Data Privacy: My location data is never linked to my name/identity.,50MB+,Yes
2026/04/20 10:22:41 AM GMT+1,Android,Pixel 7A,MTN,3,Occasionally,Local Areas,3,Yes,Data Privacy: My location data is never linked to my name/identity.,10M - 50MB,Yes
2026/04/20 11:31:57 AM GMT+1,Android,Teno Pop8,MTN,1,Occasionally,Behind Eta Place,5,Only if I can see the data it collects,Personal Stats: A map showing my own signal strength history.,None (Only upload via Wi-Fi),No
2026/04/20 1:25:49 PM GMT+1,Android,Redmi,Orange,2,Occasionally,Muea,5,Only if I can see the data it collects,Personal Stats: A map showing my own signal strength history.,Less than 10MB (Very light),Yes
2026/04/20 2:09:36 PM GMT+1,iOS,iPhone ,MTN,1,Rarely,Dongo,1,Yes,Low Battery Usage: The app uses less than 3% battery.,10MB - 50MB,Yes
2026/04/20 9:09:48 PM GMT+1,iOS,Iphone,MTN,4,Rarely,Limbe Behind Gbhs,5,Only if I can see the data it collects,Low Battery Usage: The app uses less than 3% battery.,10MB - 50MB,Yes
2026/04/21 12:22:22 AM GMT+1,Android,Redmi,MTN,3,Occasionally,Most New Quarters,5,Yes,Data Privacy: My location data is never linked to my name/identity.,Less than 10MB (Very light),Yes
2026/04/21 3:22:34 AM GMT+1,Android,Samsung S20 Ultra,BOTH,3,"Yes, multiple times",Boumnyebel Centre Region,4,Only if I can see the data it collects,Data Privacy: My location data is never linked to my name/identity.,10MB - 50MB,Yes
2026/04/21 6:47:38 AM GMT+1,iOS,Iphone 11,MTN & Orange,2,"Yes, multiple times",House,4,Only if I can see the data it collects,Low Battery Usage: The app uses less than 3% battery.,10MB - 50MB,No
2026/04/21 11:19:58 AM GMT+1,Android,Samsung Note,MTN,3,Occasionally,Not Sure,3,Only if I can see the data it collects,Low Battery Usage: The app uses less than 3% battery.,None (Only upload via Wi-Fi),Yes
2026/04/21 2:16:59 PM GMT+1,Android,Itel A56,MTN,2,"Yes, multiple times",Batibo Sub Division,2,Only if I can see the data it collects,Wi-Fi Only Upload: The app won't use my mobile data to send reports.,None (Only upload via Wi-Fi),No
2026/04/21 5:47:30 PM GMT+1,Android,Samsung Galaxy A17,MTN,3,"Yes, multiple times",Lycee,4,Only if I can see the data it collects,Data Privacy: My location data is never linked to my name/identity.,Less than 10MB (Very light),Yes
2026/04/21 7:30:55 PM GMT+1,iOS,Iphone 12 Pro Max,Camtel,3,Occasionally,Bokwaongo,1,No,Data Privacy: My location data is never linked to my name/identity.,10MB - 50MB,Yes
2026/04/21 8:09:53 PM GMT+1,Android,Samsung S21 Ultra,MTN,3,"Yes, multiple times",Carrefour Abanda,5,Only if I can see the data it collects,Data Privacy: My location data is never linked to my name/identity.,10MB - 50MB,Yes
2026/04/22 3:57:45 PM GMT+1,iOS,Iphone,Orange,4,"Yes, multiple times",Bonduma Gate,4,No,Low Battery Usage: The app uses less than 3% battery.,None (Only upload via Wi-Fi),No
2026/04/23 10:21:31 AM GMT+1,Android,Pixel 2Xl,MTN,3,Rarely,Remote,5,Only if I can see the data it collects,Data Privacy: My location data is never linked to my name/identity.,10MB - 50MB,No
2026/04/23 8:40:03 PM GMT+1,Android,Tecno Camon 17 Pro,MTN,3,"Yes, multiple times",Everywhere,3,No,Low Battery Usage: The app uses less than 3% battery.,10MB - 50MB,It depends
2026/04/24 7:18:48 AM GMT+1,iOS,I14,BLUE,3,"Yes, multiple times",School,5,Only if I can see the data it collects,Data Privacy: My location data is never linked to my name/identity.,10MB - 50MB,No
2026/04/25 12:53:06 PM GMT+1,Android,Moto G14,MTN,2,"Yes, multiple times",Bundoma Gate,2,Yes,"Manual Control: A ""Stop Tracking"" button in the notification bar.",10MB - 50MB,Yes
2026/04/26 7:04:29 AM GMT+1,iOS,Xr,Orange,3,Occasionally,Oyc,4,Only if I can see the data it collects,Data Privacy: My location data is never linked to my name/identity.,Less than 10MB (Very light),Yes
2026/04/26 7:06:00 AM GMT+1,Android,S23,MTN,3,Occasionally,Molyko,4,No,Low Battery Usage: The app uses less than 3% battery.,10MB - 50MB,No
2026/04/26 7:07:46 AM GMT+1,iOS,Iphone 11,Camtel,2,"Yes, multiple times",Mile 17,5,No,"Manual Control: A ""Stop Tracking"" button in the notification bar.",None (Only upload via Wi-Fi),Yes
