"Timestamp","1. What is your primary mobile operating system?","2. What is the brand and model of your smartphone? (e.g., Samsung S23, iPhone 14)","3. Which mobile network provider do you currently use? ( e.g.., MTN, Orange)","4. On a scale of 1–5, how would you rate your general mobile data (4G/5G) stability?","5. Do you frequently encounter ""Dead Zones"" (no signal) during your daily commute?","6. In which specific areas or neighborhoods do you experience the most signal drops?","7. On a scale of 1–5, how concerned are you about apps accessing your location in the background?","8. Would you allow a background app to collect anonymous signal data if it helped your provider fix those dead zones?","9. Which of these features are most important to you? (Choose all that apply)","10. How much of your monthly mobile data would you be willing to contribute to these reports?","11. Would you be willing to leave your GPS ""On"" while driving or commuting if the app requires it?"
"2026/04/18 3:54:53 PM GMT+1","iOS(iPhone)","iPhone 12 Pro Max ","Mtn","2","Yes, multiple times","Everywhere ","1","Yes","Wi-Fi Only Upload: The app won't use my mobile data to send reports.","None (Only upload via Wi-Fi)","Yes"
"2026/04/18 3:55:06 PM GMT+1","iOS(iPhone)","iPhone 16","MTN","1","Yes, multiple times","Bomaka","5","No","Data Privacy: My location data is never linked to my name/identity.","10MB – 50MB","Yes"
"2026/04/18 4:00:12 PM GMT+1","Android","Google pixel 4xl","Camtel","3","Yes, multiple times","Dirty south","5","Only if I can see the data it collects","Manual Control: A ""Stop Tracking"" button in the notification bar.","50MB+","Yes"
"2026/04/18 4:14:25 PM GMT+1","Android","Samsung A24","MTN ","2","Yes, multiple times","Molyko","1","Yes","Personal Stats: A map showing my own signal strength history.","10MB – 50MB","Yes"
"2026/04/18 4:23:08 PM GMT+1","Android","Redmi A5 ","MTN and Orange ","3","Occasionally","OIC","4","Only if I can see the data it collects","Data Privacy: My location data is never linked to my name/identity.","10MB – 50MB","No"
"2026/04/18 7:07:33 PM GMT+1","Android","infinix","MTN","2","Yes, multiple times","st luke in buea","5","Yes","Personal Stats: A map showing my own signal strength history.","50MB+","Yes"
"2026/04/18 7:09:03 PM GMT+1","iOS(iPhone)","iPhone 14 Pro max","MTN","4","Occasionally","Ndongo Untarred Malingo Buea","4","Only if I can see the data it collects","Data Privacy: My location data is never linked to my name/identity.","50MB+","Yes"
"2026/04/18 7:09:50 PM GMT+1","Android","Samsung s9 plus ","MTN","4","Rarely","UB junction ","4","Only if I can see the data it collects","Personal Stats: A map showing my own signal strength history.","10MB – 50MB","Yes"
"2026/04/18 7:10:35 PM GMT+1","Android","None ","Mtn","3","Occasionally","Outdoor","3","Yes","Low Battery Usage: The app uses less than 3% battery.","Less than 10MB (Very light)","Yes"
"2026/04/18 7:13:51 PM GMT+1","iOS(iPhone)","Iphone 12","Mtn","3","Rarely","Bonduma ","3","Yes","Data Privacy: My location data is never linked to my name/identity.","None (Only upload via Wi-Fi)","Yes"
"2026/04/18 7:17:14 PM GMT+1","iOS(iPhone)","Iphone","Orange","3","Occasionally","Rural areas ","3","Yes","Wi-Fi Only Upload: The app won't use my mobile data to send reports.","Less than 10MB (Very light)","Yes"
"2026/04/18 7:23:00 PM GMT+1","Android","Samsung S21 FE","MTN","4","Occasionally","Local areas in the village","5","Only if I can see the data it collects","Data Privacy: My location data is never linked to my name/identity.","None (Only upload via Wi-Fi)","No"
"2026/04/18 7:23:40 PM GMT+1","Android","Techno spark 10pro","MTN ","3","Occasionally","UB ","2","Only if I can see the data it collects","Data Privacy: My location data is never linked to my name/identity.","Less than 10MB (Very light)","Yes"
"2026/04/18 7:30:59 PM GMT+1","Android","Samsung a16 5g ","Orange","2","Occasionally","School","4","Yes","Low Battery Usage: The app uses less than 3% battery.","Less than 10MB (Very light)","Yes"
"2026/04/18 7:50:13 PM GMT+1","iOS(iPhone)","iPhone 13","Orange ","4","Yes, multiple times","Areas I hardly visit ","1","Only if I can see the data it collects","Wi-Fi Only Upload: The app won't use my mobile data to send reports.","50MB+","Yes"
"2026/04/18 8:23:28 PM GMT+1","iOS(iPhone)","iPhone 13","orange ","5","Yes, multiple times","Every were","5","No","Manual Control: A ""Stop Tracking"" button in the notification bar.","None (Only upload via Wi-Fi)","No"
"2026/04/18 9:16:32 PM GMT+1","iOS(iPhone)","iPhone 11","Mtn","3","Yes, multiple times","Bundoma gate ","4","No","Data Privacy: My location data is never linked to my name/identity.","10MB – 50MB","Yes"
"2026/04/18 9:16:39 PM GMT+1","iOS(iPhone)","iPhone 12 Pro ","MTN ","3","Yes, multiple times","Simbock area","4","Yes","Low Battery Usage: The app uses less than 3% battery.","10MB – 50MB","Yes"
"2026/04/18 9:31:24 PM GMT+1","Android","Motor g34 5g","MTN ","4","Rarely","Village ","4","Only if I can see the data it collects","Wi-Fi Only Upload: The app won't use my mobile data to send reports.","None (Only upload via Wi-Fi)","Yes"
"2026/04/18 11:35:25 PM GMT+1","Android","Motorola ","MTN","3","Occasionally","Mile 16","3","Only if I can see the data it collects","Low Battery Usage: The app uses less than 3% battery.","50MB+","Yes"
"2026/04/19 4:56:25 AM GMT+1","Android","Samsung A04","MTN","3","Occasionally","Small soppo","4","Yes","Wi-Fi Only Upload: The app won't use my mobile data to send reports.","50MB+","Yes"
"2026/04/19 3:07:16 PM GMT+1","iOS(iPhone)","iPhone xr","MTN AND ORANGE ","3","Yes, multiple times","Bomaka buea","1","No","Data Privacy: My location data is never linked to my name/identity.","Less than 10MB (Very light)","No"
"2026/04/19 5:33:15 PM GMT+1","Android","Samsung galaxy A13","Orange ","3","Occasionally","Location independent ","5","Yes","Data Privacy: My location data is never linked to my name/identity.","10MB – 50MB","Yes"
